Code_UAI;services_num
0310012V;Bien
0310037X;Bien
0310041B;Bien
0310053P;Bien
0311094W;Bien
0311111P;Trés bien
0311232W;Bien
0311338L;Bien
0311582B;Trés bien
0311690U;Trés bien
0312307P;Trés bien
0312696M;Bien
0312822Z;Trés bien
0320008K;Bien
0320009L;Bien
0320014S;Bien
0320033M;Bien
0340039H;Trés bien
0340996Y;Bien
0341363X;Trés bien
0341367B;Trés bien
0460024B;Trés bien
0460026D;Bien
0460028F;Bien
0460592U;Trés bien
0480003T;Bien
0480009Z;Trés bien
0480016G;Trés bien
0480688M;Bien
0650003A;Trés bien
0650014M;Bien
0650026A;Bien
0650029D;Trés bien
0650038N;Trés bien
0660011D;Bien
0660037G;Trés bien
0660648W;Bien
0660866H;Bien
0810030T;Bien
0810993P;Bien
0811197L;Bien
0811340S;Trés bien
0820007M;Bien
0820021C;Bien
0820032P;Bien
0820704V;Bien
0090056M;Trés bien
0090573Z;Trés bien
0110003U;Trés bien
0110012D;Bien
0110022P;Trés bien
0110068P;Trés bien
0120022J;Bien
0120029S;Bien
0120032V;Bien
0300023M;Bien
0300052U;Trés bien
0300946R;Bien
0300947S;Trés bien
0301012M;Bien
0301096D;Trés bien
0310005M;Bien
0310007P;Bien
0310017A;Trés bien
0310019C;Trés bien
0310029N;Trés bien
0310053P;Bien
0310054R;Trés bien
0311330C;Bien
0311573S;Trés bien
0311580Z;Bien
0311630D;Trés bien
0311632F;Bien
0311902Z;Trés bien
0312140H;Trés bien
0312289V;Trés bien
0312337X;Trés bien
0312609T;Bien
0312686B;Trés bien
0312696M;Bien
0312699R;Trés bien
0312746S;Bien
0312762J;Trés bien
0312799Z;Bien
0312842W;Bien
0320015T;Bien
0320023B;Trés bien
0320040V;Bien
0320562M;Trés bien
0340006X;Trés bien
0340031Z;Bien
0340063J;Trés bien
0340065L;Bien
0340070S;Bien
0340996Y;Bien
0341032M;Trés bien
0341363X;Trés bien
0341364Y;Trés bien
0341366A;Trés bien
0341367B;Trés bien
0341870Y;Bien
0341921D;Bien
0342036D;Bien
0342051V;Trés bien
0342266D;Bien
0460020X;Bien
0460529A;Bien
0460594W;Bien
0650003A;Trés bien
0650012K;Trés bien
0650014M;Bien
0650020U;Bien
0650022W;Bien
0650034J;Trés bien
0650036L;Trés bien
0660028X;Trés bien
0660037G;Trés bien
0660038H;Trés bien
0660078B;Trés bien
0660522J;Trés bien
0660924W;Trés bien
0810016C;Bien
0810025M;Bien
0810041E;Bien
0810126X;Trés bien
0810961E;Trés bien
0820007M;Bien
0820020B;Bien
0820021C;Bien
0090010M;Bien
0090012P;Trés bien
0090015T;Trés bien
0090573Z;Trés bien
0110027V;Trés bien
0110859Z;Trés bien
0111051H;Bien
0120006S;Bien
0120019F;Trés bien
0120021H;Bien
0120025M;Bien
0120028R;Trés bien
0120029S;Bien
0120101V;Trés bien
0121178R;Trés bien
0300021K;Bien
0300042H;Trés bien
0300046M;Bien
0301013N;Trés bien
0301096D;Trés bien
0301552Z;Trés bien
0301778V;Bien
0310001H;Trés bien
0310008R;Bien
0310017A;Trés bien
0310019C;Trés bien
