Code_UAI;maintenance
0460010L;Trés bien
0460015S;Bien
0460493L;Bien
0460593V;Assez bien
0460594W;Bien
0480006W;Bien
0480013D;Moyen
0480017H;Moyen
0650005C;Trés bien
0650012K;Trés bien
0650019T;Trés bien
0650037M;Bien
0650088T;Assez bien
0650740B;Assez bien
0660018L;Trés bien
0660021P;Bien
0660029Y;Trés bien
0660601V;Trés bien
0090001C;Assez bien
0090002D;Bien
0090009L;Bien
0090013R;Bien
0090020Y;Bien
0090478W;Moyen
0110012D;Trés bien
0110022P;Trés bien
0110025T;Trés bien
0110666P;Trés bien
0110676A;Trés bien
0120004P;Bien
0120022J;Trés bien
0300020J;Bien
0300026R;Trés bien
0300027S;Moyen
0301014P;Bien
0301656M;Bien
0301723K;Trés bien
0310023G;Trés bien
0310032S;Trés bien
0310035V;Bien
0310092G;Bien
0311093V;Bien
0311112R;Trés bien
0311263E;Moyen
0311264F;Moyen
0311334G;Moyen
0311573S;Bien
0311581A;Moyen
0311721C;Bien
0311902Z;Bien
0312139G;Moyen
0312220V;Assez bien
0312267W;Bien
0312289V;Bien
0312290W;Bien
0312612W;Bien
0312686B;Trés bien
0312698P;Bien
0312700S;Moyen
0312762J;Moyen
0312799Z;Bien
0312843X;Bien
0312938A;Trés bien
0320012P;Moyen
0320013R;Bien
0320030J;Trés bien
0320067Z;Assez bien
0320563N;Assez bien
0340031Z;Trés bien
0340037F;Trés bien
0340042L;Bien
0340065L;Trés bien
0340076Y;Trés bien
0340110K;Trés bien
0340974Z;Trés bien
0341066Z;Assez bien
0341592W;Trés bien
0341826A;Trés bien
0342051V;Trés bien
0342132H;Trés bien
0342266D;Trés bien
0460018V;Moyen
0480007X;Moyen
0650020U;Bien
0650036L;Assez bien
0660004W;Moyen
0660008A;Trés bien
0660010C;Trés bien
0660028X;Trés bien
0660078B;Trés bien
0660600U;Bien
0660809W;Trés bien
0660864F;Bien
0660925X;Trés bien
0810002M;Bien
0810008U;Assez bien
0810012Y;Trés bien
0810027P;Moyen
0810028R;Moyen
0810033W;Bien
0810036Z;Bien
0810043G;Bien
0810052S;Bien
0810126X;Trés bien
0810959C;Trés bien
0810960D;Assez bien
0811032G;Bien
0820004J;Bien
0820011S;Assez bien
0820067C;Bien
0820684Y;Bien
0820713E;Assez bien
0820917B;Assez bien
