Code_UAI;acces_ressources
0340059E;Très bien
0340063J;Assez bien
0340075X;Très bien
0340088L;Très bien
0341028H;Très bien
0341656R;Assez bien
0342066L;Bien
0342090M;Bien
0460001B;Bien
0460007H;Bien
0460010L;Très bien
0460015S;Assez bien
0460493L;Bien
0460593V;Mauvais
0460594W;Bien
0480006W;Très bien
0480013D;Bien
0480017H;Assez bien
0650005C;Assez bien
0650012K;Très bien
0650019T;Mauvais
0650037M;Très bien
0650088T;Mauvais
0650740B;Assez bien
0660018L;Très bien
0660021P;Mauvais
0660029Y;Assez bien
0660601V;Bien
0090001C;Mauvais
0090002D;Très bien
0090009L;Bien
0090013R;Mauvais
0090020Y;Mauvais
0090478W;Bien
0110012D;Mauvais
0110022P;Très bien
0110025T;Mauvais
0110666P;Mauvais
0110676A;Très bien
0120004P;Très bien
0120022J;Bien
0300020J;Bien
0300026R;Mauvais
0300027S;Très bien
0300141R;Bien
0301014P;Assez bien
0301656M;Très bien
0301723K;Mauvais
0310023G;Très bien
0310032S;Bien
0310035V;Assez bien
0310092G;Très bien
0311093V;Très bien
0311112R;Très bien
0311263E;Très bien
0311264F;Assez bien
0311334G;Bien
0311573S;Assez bien
0311581A;Bien
0311720B;Assez bien
0311721C;Mauvais
0311722D;Bien
0311902Z;Bien
0312139G;Mauvais
0312220V;Bien
0312267W;Bien
0312289V;Très bien
0312290W;Très bien
0312612W;Très bien
0312686B;Très bien
0312698P;Très bien
0312700S;Assez bien
0312762J;Très bien
0312799Z;Mauvais
0312843X;Mauvais
0312938A;Très bien
0320012P;Assez bien
0320013R;Très bien
0320030J;Très bien
0320067Z;Très bien
0320563N;Assez bien
0340031Z;Très bien
0340037F;Assez bien
0340042L;Mauvais
0340065L;Assez bien
0340076Y;Mauvais
0340086J;Assez bien
0340110K;Bien
0340974Z;Mauvais
0341066Z;Assez bien
0341592W;Assez bien
0341826A;Assez bien
0342051V;Très bien
0342132H;Assez bien
0342266D;Mauvais
0460018V;Très bien
0480007X;Mauvais
0650020U;Bien
0650036L;Bien
0660004W;Bien
0660008A;Mauvais
0660010C;Mauvais
0660028X;Mauvais
0660078B;Assez bien
0660600U;Mauvais
0660809W;Mauvais
0660864F;Mauvais
